Block Size (KB),Throughput (MiB/s),Time (ms),
4,271.469,1000,
4,274.966,2000,
4,275.844,3000,
4,276.146,4000,
4,276.141,5000,
4,275.777,6001,
4,276.041,7000,
4,275.141,8001,
4,277.82,9000,
128,1969.88,1000,
128,1963.5,2000,
128,1974.72,3000,
128,1969.62,4000,
128,1972.12,5001,
128,1964.34,6000,
128,1969,7000,
128,1969.72,8000,
128,1971.75,9000,
512,2284.5,1000,
512,2308.31,2000,
512,2184.18,3000,
512,2245.5,4000,
512,2230.73,5000,
512,2253.75,6000,
512,2272.5,7000,
512,2232.73,8000,
512,2231,9000,
1024,2329,1000,
1024,2350.35,2000,
1024,2312,3000,
1024,2334.33,4000,
1024,2309,5000,
1024,2320,6000,
1024,2318.32,7000,
1024,2328,8000,
1024,2338.34,9000,
