Block Size (KB),Throughput (MiB/s),Time (ms),
4,278.52,1000,
4,277.391,2000,
4,278.121,3000,
4,279.246,4000,
4,279.33,5000,
4,278.977,6000,
4,280.205,7000,
4,275.805,8000,
4,269.809,9000,
4,278.152,10000,
4,279.185,11000,
4,275.285,12000,
4,279.43,13001,
4,272.404,14000,
4,276.074,15000,
4,279.075,16000,
4,279.246,17000,
4,278.681,18000,
4,279.383,19000,
4,279.369,20000,
4,279.496,21000,
4,277.355,22000,
4,278.887,23000,
4,268.757,24000,
4,259.336,25000,
4,255.22,26000,
4,278.496,27000,
4,278.786,28000,
4,277.703,29000,
4,277.625,30000,
4,278.391,31000,
4,277.668,32000,
4,278.829,33000,
4,276.414,34000,
4,278.786,35000,
4,276.621,36000,
4,278.423,37000,
4,278.418,38000,
4,278.043,39000,
4,278.691,40000,
4,273.828,41000,
4,270.137,42000,
4,273.84,43001,
4,276.236,44000,
4,277.711,45000,
4,271.639,46000,
4,263.094,47000,
4,275.971,48000,
4,277.973,49000,
4,277.379,50000,
4,264.773,51000,
4,267.321,52000,
4,274.293,53000,
4,264.525,54000,
4,259.25,55000,
4,272.311,56000,
4,267.254,57000,
4,255.963,58000,
4,268.086,59000,
4,272.443,60000,
4,277.57,61000,
4,277.809,62000,
4,279.363,63000,
4,278.735,64000,
4,279.707,65000,
4,278.875,66000,
4,279.443,67000,
4,279.398,68000,
4,279.191,69000,
4,278.579,70000,
4,279.238,71000,
4,279.451,72000,
4,279.285,73000,
4,278.148,74000,
4,278.657,75000,
4,278.652,76000,
4,278.966,77000,
4,278.656,78000,
4,274.453,79000,
4,275.693,80000,
4,278.059,81000,
4,278.172,82000,
4,277.598,83000,
4,278.716,84000,
4,278.562,85000,
4,278.754,86000,
4,278.485,87000,
4,278.262,88000,
4,278.841,89000,
4,278.391,90000,
4,278.242,91000,
4,279.613,92000,
4,280.014,93000,
4,278.957,94000,
4,278.579,95000,
4,279.395,96000,
4,279.359,97001,
4,279.811,98000,
4,278.848,99001,
4,279.904,100000,
4,279.512,101000,
4,279.259,102000,
4,278.004,103000,
4,279.357,104000,
4,279.109,105000,
4,277.688,106000,
4,277.504,107000,
4,278.16,108000,
4,278.246,109000,
4,278.422,110000,
4,276.94,111000,
4,277.547,112000,
4,275.38,113000,
4,277.723,114000,
4,270.915,115000,
4,265.906,116000,
4,277.058,117000,
4,277.57,118000,
4,277.582,119000,
4,277.508,120000,
4,277.18,121000,
4,263.501,122000,
4,260.996,123000,
4,269.746,124000,
4,276.496,125000,
4,277.512,126000,
4,277.098,127000,
4,276.78,128000,
4,278.648,129000,
4,278.712,130000,
4,277.883,131000,
4,278.735,132000,
4,277.594,133000,
4,261.129,134000,
4,254.688,135000,
4,275.262,136000,
4,268.166,137000,
4,276.699,138000,
4,276.874,139000,
4,277.5,140000,
4,277.331,141000,
4,277.891,142000,
4,277.523,143000,
4,278.184,144000,
4,277.488,145000,
4,277.555,146000,
4,274.141,147000,
4,268.07,148000,
4,276.64,149000,
4,278.48,150000,
4,278.431,151000,
4,277.113,152000,
4,273.421,153000,
4,277.531,154000,
4,276.711,155000,
4,277.566,156000,
4,278.051,157000,
4,278.301,158000,
4,278.004,159000,
4,277.59,160000,
4,277.855,161000,
4,277.895,162000,
4,277.613,163000,
4,277.684,164000,
4,277.785,165000,
4,278.043,166000,
4,277.855,167000,
4,278.148,168001,
4,278.012,169000,
4,278.211,170000,
4,277.637,171000,
4,278.203,172000,
4,278.02,173000,
4,278.047,174000,
4,277.902,175000,
4,278.277,176000,
4,278.219,177000,
4,277.504,178000,
4,277.559,179000,
4,270.688,180000,
4,273.145,181001,
4,277.241,182000,
4,278.137,183001,
4,277.836,184000,
4,277.746,185000,
4,278.321,186000,
4,277.875,187000,
4,276.53,188000,
4,277.504,189000,
4,277.371,190000,
4,277.699,191000,
4,275.258,192000,
4,276.687,193000,
4,277.398,194000,
4,277.058,195000,
4,277.023,196000,
4,277.465,197000,
4,277.762,198000,
4,276.867,199001,
4,277.276,200000,
4,276.805,201000,
4,275.658,202000,
4,277.926,203000,
4,277.547,204000,
4,277.367,205000,
4,278.051,206000,
4,277.617,207000,
4,277.855,208000,
4,277.305,209000,
4,277.375,210000,
4,277.203,211000,
4,267.309,212000,
4,274.458,213000,
4,276.723,214000,
4,275.916,215000,
4,277.227,216000,
4,275.889,217000,
4,276.508,218000,
4,275.471,219000,
4,276.328,220000,
4,277.144,221000,
4,277.652,222000,
4,277.155,223000,
4,277.27,224000,
4,277.617,225000,
4,277.039,226000,
4,277.214,227000,
4,276.688,228000,
4,277.094,229001,
4,277.171,230000,
4,277.004,231001,
4,277.414,232000,
4,277.52,233000,
4,277.438,234000,
4,277.168,235000,
4,277.387,236000,
4,277.699,237000,
4,277.496,238000,
4,277.652,239000,
4,277.348,240000,
4,277.352,241000,
4,277.359,242000,
4,277.539,243000,
4,272.945,244000,
4,274.203,245000,
4,277.016,246000,
4,277.547,247000,
4,276.211,248000,
4,276.647,249000,
4,276.062,250000,
4,276.801,251001,
4,275.842,252000,
4,277.02,253000,
4,277.05,254000,
4,277.32,255000,
4,276.006,256000,
4,277.977,257000,
4,275.768,258000,
4,277.02,259000,
4,277.77,260000,
4,277.785,261000,
4,277.359,262000,
4,277.426,263000,
4,277.609,264000,
4,277.984,265000,
4,278.113,266000,
4,277.789,267000,
4,277.48,268001,
4,277.676,269000,
4,277.59,270000,
4,277.562,271000,
4,276.895,272000,
4,277.48,273000,
4,276.781,274000,
4,277.406,275000,
4,271.973,276000,
4,269.34,277000,
4,276.405,278000,
4,276.891,279000,
4,277.582,280000,
4,276.98,281000,
4,275.541,282000,
4,277.648,283000,
4,277.887,284000,
4,277.68,285000,
4,277.406,286000,
4,277.758,287000,
4,277.551,288000,
4,277.484,289000,
4,278.312,290000,
4,278.426,291000,
4,278.466,292000,
4,278.18,293000,
4,276.547,294001,
4,277.887,295000,
4,278.465,296000,
4,278.027,297000,
4,277.898,298000,
4,277.805,299000,
4,278.59,300000,
4,278.863,301000,
4,278.661,302000,
4,277.844,303000,
4,278.027,304000,
4,278.148,305000,
4,277.508,306000,
4,277.836,307000,
4,274.871,308000,
4,273.879,309001,
4,273.354,310000,
4,277.898,311001,
4,276.897,312000,
4,278.145,313000,
4,278.012,314000,
4,277.284,315000,
4,277.578,316000,
4,278.195,317000,
4,277.883,318000,
4,277.488,319000,
4,277.496,320000,
4,277.41,321001,
4,277.335,322000,
4,277.457,323001,
4,277.543,324000,
4,277.773,325000,
4,277.5,326000,
4,277.848,327000,
4,277.594,328000,
4,277.684,329000,
4,278.16,330000,
4,277.898,331000,
4,277.73,332000,
4,277.93,333000,
4,278.047,334000,
4,277.777,335000,
4,278.406,336000,
4,278.403,337000,
4,277.934,338000,
4,277.855,339000,
4,277.32,340000,
4,265.046,341000,
4,261.43,342000,
4,277.292,343000,
4,277.992,344000,
4,278.262,345000,
4,278.266,346000,
4,277.883,347000,
4,277.633,348000,
4,277.194,349000,
4,277.637,350000,
4,278.109,351000,
4,278.137,352000,
4,277.261,353000,
4,277.91,354000,
4,271.07,355000,
4,277.582,356000,
4,277.34,357000,
4,277.879,358000,
4,277.926,359000,
4,278.023,360000,
4,277.84,361000,
4,278.121,362000,
4,278.125,363000,
4,278.16,364000,
4,278.004,365000,
4,278.238,366001,
