Block Size (KB),Throughput (MiB/s),Time (ms),
4,280.532,147,
4,280.648,160,
4,275.781,171,
4,278.211,180,
4,277.734,190,
4,280.469,200,
4,281.25,210,
4,281.641,220,
4,282.031,230,
4,279.688,240,
4,276.562,250,
4,281.25,260,
4,280.078,270,
4,279.297,280,
4,280.859,290,
4,280.078,300,
4,281.641,310,
4,281.25,320,
4,281.25,330,
4,282.031,340,
4,281.641,350,
4,280.469,361,
4,281.684,370,
4,280.469,380,
4,281.25,390,
4,280.859,400,
4,278.906,410,
4,278.906,420,
4,277.734,430,
4,280.469,440,
4,280.078,450,
4,281.25,460,
4,281.25,470,
4,281.25,480,
4,281.641,490,
4,268.75,500,
4,272.656,510,
4,279.297,520,
4,280.078,530,
4,279.688,540,
4,280.859,550,
4,280.469,561,
4,281.684,570,
4,280.859,580,
4,280.859,590,
4,273.828,600,
4,278.125,610,
4,280.078,620,
4,281.25,630,
4,281.25,640,
4,283.984,650,
4,279.297,660,
4,281.641,670,
4,278.516,680,
4,280.078,690,
4,281.641,700,
4,279.688,710,
4,281.641,720,
4,281.25,730,
4,279.688,740,
4,281.641,751,
4,281.684,760,
4,281.641,770,
4,281.641,780,
4,281.641,790,
4,281.25,800,
4,279.688,810,
4,281.641,820,
4,280.469,830,
4,281.641,840,
4,280.859,850,
4,280.859,860,
4,279.688,870,
4,267.578,880,
4,274.219,890,
4,282.031,900,
4,280.469,910,
4,277.734,920,
4,278.125,930,
4,282.031,941,
4,282.985,950,
4,281.641,960,
4,280.859,970,
4,282.031,980,
4,282.031,990,
4,280.859,1000,
4,281.25,1010,
4,281.641,1020,
4,282.031,1030,
4,281.641,1040,
4,281.641,1050,
4,281.25,1060,
4,278.125,1070,
4,279.688,1080,
4,278.906,1090,
4,273.047,1100,
4,274.219,1110,
4,280.469,1120,
4,280.859,1130,
4,278.906,1140,
4,273.871,1150,
4,278.125,1160,
4,274.609,1170,
4,279.297,1180,
4,280.859,1190,
4,280.469,1200,
4,281.641,1210,
4,278.906,1220,
4,281.25,1230,
4,280.859,1240,
4,280.078,1250,
4,277.734,1260,
4,280.078,1270,
4,280.859,1280,
4,280.859,1290,
4,281.641,1300,
4,281.25,1310,
4,277.734,1320,
4,279.688,1330,
4,280.859,1341,
4,280.382,1350,
4,280.469,1360,
4,280.078,1370,
4,280.469,1380,
4,280.859,1390,
4,281.641,1400,
4,280.078,1410,
4,273.047,1420,
4,277.734,1430,
4,278.125,1440,
4,279.297,1450,
