Block Size (KB),Throughput (MiB/s),Data Written (GB)
4,275.809,0.976562
4,278.016,1.95312
4,276.565,2.92969
4,277.719,3.90625
4,276.913,4.88281
4,277.234,5.85938
4,277.019,6.83594
4,274.234,7.8125
4,270.309,8.79004
4,276.111,9.76562
4,266.055,10.7432
4,254.031,11.7188
4,229.117,12.6963
4,223.892,13.6719
4,223.289,14.6484
4,215.547,15.626
4,257.804,16.6016
4,241.53,17.5781
4,257.195,18.5547
4,244.979,19.5312
4,267.297,20.5078
4,261.452,21.4844
4,245.82,22.4609
4,244.35,23.4375
4,270.969,24.4141
4,271.212,25.3906
4,273.789,26.3672
4,270.509,27.3438
4,272.34,28.3203
4,273.969,29.2969
4,273.078,30.2734
4,272.045,31.25
4,274.527,32.2266
4,271.396,33.2031
4,273.097,34.1797
4,271.496,35.1562
4,273.891,36.1338
4,272.761,37.1094
4,273.344,38.0859
4,273.578,39.0625
4,272.113,40.04
4,273.042,41.0156
4,274.484,41.9932
4,271.024,42.9688
4,266.73,43.9453
4,267.756,44.9219
4,261.289,45.8994
4,262.141,46.875
4,253.113,47.8525
4,268.225,48.8281
4,270.735,49.8047
4,271.336,50.7812
4,262.453,51.7578
4,272.172,52.7344
4,274.746,53.7119
4,269.366,54.6875
4,272.076,55.6641
4,271.074,56.6406
4,272.174,57.6172
4,271.727,58.5938
4,271.411,59.5703
4,271.586,60.5469
4,271.682,61.5234
4,269.129,62.5
4,269.062,63.4766
4,255.332,64.4531
4,271.466,65.4297
4,266.066,66.4062
4,268.291,67.3828
4,272.062,68.3594
4,270.892,69.3359
4,224.617,70.3135
4,263.185,71.2891
4,254.691,72.2656
4,271.109,73.2422
4,269.98,74.2188
4,273.57,75.1953
4,272.164,76.1719
4,272.636,77.1484
4,273.43,78.125
4,273.93,79.1016
4,268.629,80.0781
4,271.814,81.0547
4,272.82,82.0312
4,273.378,83.0078
4,273.168,83.9844
4,273.457,84.9609
4,274.355,85.9375
4,273.003,86.9141
4,271.895,87.8916
4,273.331,88.8672
4,274.336,89.8438
4,273.441,90.8203
4,273.645,91.7969
4,273.336,92.7734
4,272.632,93.75
4,273.789,94.7266
4,272.851,95.7031
4,272.402,96.6797
4,273.84,97.6562
4,272.258,98.6328
4,274.536,99.6094
4,264.07,100.586
4,268.115,101.562
4,271.34,102.539
4,269.167,103.516
4,273.203,104.492
4,271.204,105.469
4,270.094,106.445
4,276.307,107.422
4,275.434,108.398
4,272.326,109.375
4,273.613,110.352
4,273.218,111.328
4,275.777,112.305
4,275.208,113.281
4,275.43,114.258
4,275.764,115.234
4,273.707,116.211
4,274.145,117.188
4,272.574,118.164
4,269.233,119.141
4,267.609,120.117
4,271.431,121.094
4,272.215,122.07
4,268.4,123.047
4,273.559,124.023
4,273.198,125
4,272.375,125.977
4,274.344,126.953
4,262.652,127.93
4,270.258,128.906
4,268.832,129.883
4,251.263,130.859
4,251.918,131.836
4,265.746,132.812
4,268.289,133.789
4,268.486,134.766
4,273.887,135.742
4,270.445,136.719
4,274.562,137.695
4,266.876,138.672
4,258.16,139.648
4,255.149,140.625
4,256.145,141.603
4,248.674,142.578
4,254.77,143.555
4,270.918,144.531
4,269.218,145.508
4,259.246,146.484
4,271.177,147.461
4,261.926,148.438
4,266.422,149.414
4,270.297,150.391
4,270.599,151.367
4,272.281,152.344
4,264.525,153.32
4,268.035,154.298
4,261.879,155.273
4,264.979,156.25
4,257.262,157.227
4,249.222,158.203
4,252.859,159.18
4,266.488,160.156
4,250.582,161.133
4,270.759,162.109
4,268.973,163.086
4,272.111,164.062
4,272.891,165.039
4,260.518,166.016
4,270.637,166.992
4,246.277,167.969
4,249.211,168.945
4,265.746,169.922
4,263.828,170.898
4,264.788,171.875
4,261.09,172.852
4,263.267,173.828
4,271.449,174.805
4,275.289,175.781
4,274.681,176.758
4,273.969,177.734
4,272.948,178.711
4,269.805,179.688
4,272.667,180.664
4,272.668,181.642
4,272.538,182.617
4,266.359,183.594
4,267.352,184.57
4,258.629,185.547
4,256.727,186.523
4,243.816,187.501
4,257.257,188.477
4,266.656,189.454
4,266.985,190.43
4,275.922,191.406
4,264.119,192.383
4,267.062,193.359
4,243.657,194.336
4,268.49,195.312
4,267.117,196.289
4,248.51,197.266
4,250.227,198.242
4,260.197,199.219
4,267.695,200.195
4,265.292,201.172
4,235.457,202.148
4,260.788,203.125
4,265.297,204.102
4,257.089,205.078
4,268.98,206.055
4,272.182,207.031
4,273.93,208.008
4,268.525,208.984
4,263.086,209.961
4,263.908,210.938
4,267.59,211.914
4,271.979,212.891
4,270.395,213.867
4,272.737,214.844
4,271.078,215.82
4,268.162,216.797
4,272.396,217.773
4,271.719,218.75
4,264.843,219.727
4,261.699,220.703
4,267.118,221.68
4,271.07,222.657
4,267.721,223.633
4,265.495,224.609
4,259.306,225.586
4,263.398,226.562
4,257.315,227.539
4,266.004,228.516
4,274.7,229.492
4,273.469,230.469
4,273.085,231.445
4,270.863,232.422
4,267.748,233.398
4,268.977,234.375
4,268.78,235.352
4,266.25,236.328
4,271.2,237.305
4,261.624,238.281
4,259.262,239.258
4,244.465,240.235
4,258.223,241.211
4,270.105,242.188
4,267.914,243.164
4,258.355,244.141
4,264.707,245.117
4,265.167,246.094
4,273.836,247.07
4,274.031,248.047
4,270.613,249.023
4,262.367,250
4,265.738,250.977
4,268.847,251.953
4,264.574,252.93
4,267.489,253.906
4,266.301,254.883
4,256.59,255.859
4,243.563,256.836
4,267.59,257.812
4,267.678,258.789
4,263.156,259.766
4,270.782,260.742
4,259.617,261.719
4,263.744,262.695
4,269.52,263.672
4,267.398,264.649
4,265.53,265.625
4,249.444,266.602
4,263.473,267.578
4,272.706,268.555
4,275.309,269.531
4,273.602,270.509
4,275.063,271.484
4,268.115,272.461
4,264.258,273.438
4,250.43,274.414
4,262.977,275.391
4,263.74,276.367
4,262.184,277.344
4,265.151,278.32
4,258.25,279.297
4,260.072,280.273
4,230.688,281.25
4,254.199,282.227
4,248.035,283.203
4,265.66,284.181
4,274.556,285.156
4,268.082,286.134
4,263.943,287.109
4,265.27,288.086
4,259.505,289.062
4,273.715,290.039
4,269.934,291.016
4,274.422,291.992
4,275.142,292.969
4,276.395,293.945
4,275.363,294.923
4,275.436,295.898
4,275.227,296.875
4,269.015,297.852
4,269.164,298.828
4,267.779,299.805
4,259.602,300.781
4,260.158,301.758
4,264.961,302.734
4,267.771,303.711
4,264.09,304.688
4,272.726,305.664
4,272.504,306.641
4,267.04,307.617
4,259.403,308.594
4,261.363,309.571
4,265.507,310.547
4,270.551,311.523
4,272.577,312.5
4,270.383,313.477
4,270.993,314.453
4,272.168,315.43
4,272.209,316.406
4,274.594,317.383
4,272.577,318.359
4,272.523,319.336
4,271.38,320.312
4,273.125,321.289
4,276.158,322.266
4,267.766,323.242
4,265.233,324.219
4,269.918,325.195
4,263.803,326.172
4,269.73,327.148
4,275.477,328.125
4,275.192,329.102
4,268.223,330.078
4,272.972,331.055
4,265.586,332.031
4,271.518,333.008
4,273.738,333.984
4,273.265,334.961
4,265.32,335.938
4,263.791,336.914
4,263.008,337.891
4,273.648,338.867
4,274.227,339.844
4,272.921,340.82
4,270.738,341.797
4,273.453,342.773
4,273.031,343.751
4,272.979,344.727
4,273.297,345.704
4,258.344,346.68
4,267.611,347.656
4,269.508,348.633
4,266.919,349.609
4,273.594,350.586
4,270.81,351.562
4,275.07,352.539
4,276.105,353.517
4,275.432,354.492
4,275.738,355.469
4,275.479,356.445
4,275.895,357.422
4,274.004,358.398
4,275.527,359.375
4,276.1,360.352
4,270.605,361.328
4,267.873,362.305
4,267.438,363.281
4,268.119,364.258
4,270.816,365.234
4,263.478,366.211
4,275.348,367.188
4,274.789,368.164
4,270.903,369.141
4,270.039,370.117
4,269.609,371.094
4,268.344,372.07
4,274.25,373.047
4,275.523,374.023
4,271.932,375
4,274.254,375.977
4,273.019,376.953
4,274.922,377.93
4,275.426,378.906
4,275.246,379.884
4,275.032,380.859
4,274.82,381.836
4,274.673,382.812
4,274.727,383.789
4,275.219,384.766
