Block Size (KB),Throughput (MiB/s),Time (ms),
4096,3156.46,147,
4096,3384.62,200,
4096,3280,250,
4096,3280,300,
4096,3360,350,
4096,3280,400,
4096,3360,450,
4096,3120,500,
4096,3280,550,
4096,3200,600,
4096,3265.31,650,
4096,3280,700,
4096,3280,750,
4096,3200,800,
4096,3200,850,
4096,3200,900,
4096,3280,950,
4096,3280,1000,
4096,3200,1050,
4096,3280,1101,
4096,3265.31,1150,
4096,3280,1200,
4096,3200,1250,
4096,3280,1300,
4096,3280,1350,
4096,3360,1400,
4096,3360,1450,
4096,3280,1500,
4096,3280,1550,
4096,3280,1600,
4096,3346.94,1650,
4096,3360,1700,
4096,3120,1750,
4096,3200,1800,
4096,3120,1850,
4096,3040,1900,
4096,3280,1950,
4096,3200,2000,
4096,3120,2050,
4096,3280,2100,
4096,3120,2150,
4096,3120,2200,
4096,3200,2251,
4096,3265.31,2300,
4096,3200,2350,
4096,3200,2400,
4096,3200,2450,
4096,3200,2500,
4096,3200,2550,
4096,3200,2600,
4096,3200,2650,
4096,3200,2700,
4096,3200,2750,
4096,3120,2800,
4096,3280,2850,
4096,3200,2900,
4096,3200,2951,
4096,3183.67,3000,
4096,3200,3050,
4096,3200,3100,
4096,3200,3150,
4096,3280,3200,
4096,3120,3250,
4096,3280,3300,
4096,3200,3350,
4096,3120,3400,
4096,3120,3451,
4096,3102.04,3500,
4096,3200,3550,
4096,3280,3600,
4096,3120,3650,
4096,3280,3700,
4096,3280,3750,
4096,3200,3800,
4096,3120,3850,
4096,3183.67,3900,
4096,3200,3950,
4096,3120,4000,
4096,3200,4050,
4096,3200,4100,
4096,3200,4150,
4096,3120,4200,
4096,3280,4250,
4096,3040,4300,
4096,3200,4350,
4096,3120,4400,
4096,3280,4451,
4096,3265.31,4500,
4096,3280,4550,
4096,3200,4600,
4096,3280,4650,
4096,3200,4700,
4096,3280,4750,
4096,3360,4800,
4096,3280,4850,
4096,3280,4900,
4096,3360,4950,
4096,3280,5000,
4096,3360,5050,
4096,3280,5100,
4096,3360,5150,
4096,3280,5200,
4096,3360,5250,
4096,3280,5300,
4096,3360,5350,
4096,3280,5400,
4096,3360,5450,
4096,3280,5500,
4096,3360,5550,
4096,3280,5601,
4096,3346.94,5650,
4096,3360,5700,
4096,3280,5750,
4096,3280,5800,
4096,3280,5850,
4096,3280,5900,
4096,3280,5950,
4096,3280,6000,
4096,3360,6050,
4096,3280,6100,
4096,3360,6150,
4096,3360,6200,
4096,3280,6250,
4096,3280,6300,
4096,3360,6350,
4096,3280,6400,
4096,3360,6450,
4096,3280,6500,
4096,3360,6550,
4096,3280,6600,
4096,3428.57,6650,
4096,3200,6700,
4096,3520,6750,
4096,3440,6800,
4096,3360,6850,
4096,3520,6900,
4096,3200,6950,
4096,3360,7000,
4096,3360,7050,
4096,3360,7100,
4096,3520,7150,
4096,3360,7200,
4096,3440,7250,
4096,3360,7300,
4096,3440,7351,
4096,3346.94,7400,
4096,3440,7450,
4096,3360,7500,
4096,3280,7550,
4096,3360,7600,
4096,3440,7650,
4096,3280,7700,
4096,3360,7750,
4096,3360,7800,
4096,3360,7850,
4096,3200,7900,
4096,3520,7950,
4096,3440,8001,
4096,3428.57,8050,
4096,3360,8100,
4096,3440,8150,
4096,3360,8200,
4096,3440,8250,
4096,3360,8300,
4096,3360,8350,
4096,3200,8400,
4096,3200,8450,
4096,3200,8500,
4096,3040,8550,
4096,3120,8601,
4096,3183.67,8650,
4096,3200,8700,
4096,3360,8750,
4096,3360,8800,
4096,3200,8850,
4096,3280,8900,
4096,3120,8950,
