Block Size (KB),Throughput (MiB/s),Time (ms),
4096,1520,50,
4096,1680,100,
4096,1520,151,
4096,1551.02,200,
4096,1520,250,
4096,1760,300,
4096,1520,350,
4096,1600,400,
4096,1520,450,
4096,1520,500,
4096,2080,550,
4096,3120,600,
4096,3200,650,
4096,3040,701,
4096,3183.67,750,
4096,3120,800,
4096,3200,850,
4096,3040,900,
4096,3040,950,
4096,3040,1000,
4096,3040,1050,
4096,3120,1101,
4096,3020.41,1150,
4096,3120,1200,
4096,2960,1250,
4096,3120,1300,
4096,3040,1350,
4096,2960,1400,
4096,3040,1450,
4096,2880,1500,
4096,3020.41,1550,
4096,3040,1600,
4096,2960,1650,
4096,2960,1700,
4096,3040,1750,
4096,3040,1800,
4096,2960,1850,
4096,3040,1900,
4096,3040,1950,
4096,3040,2001,
4096,3020.41,2050,
4096,3040,2100,
4096,2960,2150,
4096,3040,2200,
4096,3040,2250,
4096,3040,2301,
4096,3020.41,2350,
4096,3040,2400,
4096,3040,2450,
4096,3120,2500,
4096,3120,2550,
4096,3040,2600,
4096,3120,2650,
4096,3040,2700,
4096,3120,2750,
4096,3020.41,2800,
4096,3120,2850,
4096,3120,2900,
4096,3040,2950,
4096,3040,3000,
4096,3120,3050,
4096,3120,3100,
4096,3040,3150,
4096,3120,3200,
4096,3120,3250,
4096,3040,3301,
4096,3102.04,3350,
4096,3040,3400,
4096,3040,3450,
4096,3040,3500,
4096,2960,3550,
4096,2960,3600,
4096,2960,3650,
4096,3040,3700,
4096,3040,3751,
4096,2938.78,3800,
4096,2960,3850,
4096,3040,3900,
4096,2960,3950,
4096,3040,4000,
4096,3040,4050,
4096,3120,4100,
4096,3040,4150,
4096,3120,4201,
4096,3102.04,4250,
4096,3120,4300,
4096,3040,4350,
4096,3120,4400,
4096,2960,4450,
4096,3040,4500,
4096,3040,4550,
4096,3040,4600,
4096,3040,4651,
4096,3102.04,4700,
4096,3040,4750,
4096,3120,4800,
4096,3120,4850,
4096,3040,4900,
4096,3120,4950,
4096,3040,5000,
4096,3120,5050,
4096,3120,5100,
4096,3120,5151,
4096,3102.04,5200,
4096,3040,5250,
4096,3120,5300,
4096,3040,5350,
4096,3120,5400,
4096,2960,5450,
4096,2960,5500,
4096,3040,5550,
4096,2960,5601,
4096,3020.41,5650,
4096,2960,5700,
4096,3040,5750,
4096,3040,5800,
4096,3040,5850,
4096,3040,5900,
4096,3040,5950,
4096,3040,6000,
4096,3020.41,6050,
4096,3040,6100,
4096,2960,6150,
4096,2960,6200,
4096,2960,6250,
4096,3040,6301,
4096,3020.41,6350,
4096,3040,6400,
4096,3040,6450,
4096,3040,6500,
4096,3040,6550,
4096,3040,6600,
4096,3040,6650,
4096,3040,6700,
4096,3040,6751,
4096,2938.78,6800,
4096,3040,6850,
4096,3040,6900,
4096,2960,6950,
4096,3040,7000,
4096,3040,7050,
4096,3040,7100,
4096,3040,7151,
4096,3020.41,7200,
4096,3040,7250,
4096,3040,7300,
4096,3040,7350,
4096,3040,7400,
4096,3040,7450,
4096,2960,7500,
4096,2960,7551,
4096,2938.78,7600,
4096,2960,7650,
4096,2960,7700,
4096,2960,7750,
4096,2960,7800,
4096,3120,7850,
4096,3040,7900,
4096,3040,7950,
4096,3120,8000,
4096,3102.04,8050,
4096,3040,8100,
4096,3120,8150,
4096,3120,8200,
4096,3040,8250,
4096,3120,8300,
4096,3040,8350,
4096,3120,8400,
4096,2960,8450,
4096,3040,8500,
4096,2938.78,8550,
4096,3120,8600,
4096,3040,8650,
4096,3040,8700,
4096,3040,8750,
4096,3040,8800,
4096,3040,8850,
4096,3040,8900,
4096,3040,8950,
4096,3040,9001,
4096,3102.04,9050,
4096,3040,9100,
4096,3040,9150,
4096,3040,9200,
4096,3040,9250,
4096,2960,9300,
4096,2960,9350,
4096,2960,9401,
4096,3020.41,9450,
4096,2880,9500,
4096,3120,9550,
4096,2960,9600,
4096,2960,9650,
4096,2960,9700,
4096,3040,9750,
4096,3102.04,9800,
4096,3040,9850,
4096,3120,9900,
4096,3040,9950,
4096,3120,10000,
4096,2960,10050,
4096,2960,10100,
4096,2960,10150,
4096,3040,10201,
4096,3020.41,10250,
4096,3120,10300,
4096,2960,10350,
4096,3040,10400,
4096,3040,10450,
4096,2960,10500,
4096,3120,10551,
4096,3020.41,10600,
4096,2880,10650,
4096,3040,10700,
4096,2800,10750,
4096,3120,10800,
4096,3120,10850,
4096,3120,10900,
4096,3120,10950,
4096,3040,11000,
4096,3120,11051,
4096,3102.04,11100,
4096,3120,11150,
4096,3040,11200,
4096,3120,11250,
4096,3120,11300,
4096,3120,11350,
4096,3040,11400,
4096,3120,11450,
4096,3040,11500,
4096,3120,11550,
4096,3120,11600,
4096,3040,11651,
4096,3102.04,11700,
4096,3120,11750,
4096,3040,11800,
4096,3120,11850,
4096,3120,11900,
4096,3040,11950,
4096,3120,12000,
4096,3120,12050,
4096,3040,12100,
4096,3120,12151,
4096,3102.04,12200,
4096,2960,12250,
4096,3040,12300,
4096,3040,12350,
4096,3040,12400,
4096,3200,12450,
4096,3120,12500,
4096,3200,12550,
4096,3200,12600,
4096,3040,12650,
4096,3120,12700,
4096,3120,12750,
4096,3120,12801,
4096,3265.31,12850,
4096,3040,12900,
4096,3200,12950,
4096,3120,13000,
4096,3120,13050,
4096,3120,13100,
4096,3120,13150,
4096,3200,13200,
4096,3120,13250,
4096,3120,13300,
4096,3120,13350,
4096,3200,13400,
4096,3040,13450,
4096,3040,13500,
4096,3102.04,13550,
4096,3120,13600,
4096,3280,13650,
4096,3120,13700,
4096,3200,13750,
4096,3120,13800,
4096,3200,13850,
4096,3120,13900,
4096,3200,13950,
4096,3120,14000,
4096,3200,14050,
4096,3120,14100,
4096,3040,14150,
4096,2960,14201,
4096,3020.41,14250,
4096,3040,14300,
4096,3040,14350,
4096,3120,14400,
4096,3040,14450,
4096,3120,14500,
4096,3040,14550,
4096,3120,14600,
4096,2880,14651,
4096,3020.41,14700,
4096,3040,14750,
4096,2880,14800,
4096,3040,14850,
4096,3120,14900,
4096,3040,14950,
4096,3040,15000,
4096,3183.67,15050,
4096,3040,15100,
4096,3120,15150,
4096,3120,15200,
4096,3120,15250,
4096,3120,15300,
4096,3040,15350,
4096,3120,15400,
4096,3120,15450,
4096,3040,15500,
4096,3120,15550,
4096,3040,15600,
4096,3120,15651,
4096,2938.78,15700,
4096,3040,15750,
4096,3040,15800,
4096,2960,15850,
4096,3040,15900,
4096,3040,15950,
4096,2960,16000,
4096,2960,16050,
4096,3040,16100,
4096,3040,16150,
4096,3040,16200,
4096,3040,16250,
4096,3020.41,16300,
4096,3040,16350,
4096,3040,16400,
4096,3040,16450,
4096,2960,16500,
4096,2960,16550,
4096,2960,16600,
4096,2960,16650,
4096,2960,16700,
4096,2960,16750,
4096,2938.78,16800,
4096,2960,16850,
4096,3040,16900,
4096,3120,16950,
4096,3040,17000,
4096,3120,17050,
4096,3120,17100,
4096,3040,17150,
4096,3120,17200,
4096,3120,17250,
4096,3040,17300,
4096,3120,17350,
4096,3120,17400,
4096,3120,17450,
4096,3040,17500,
4096,2960,17550,
4096,3040,17601,
4096,2938.78,17650,
4096,3040,17700,
4096,2960,17750,
4096,3040,17800,
4096,3040,17850,
4096,3040,17900,
4096,3120,17950,
4096,3120,18000,
4096,2960,18050,
4096,3040,18100,
4096,3120,18150,
4096,3200,18200,
4096,3200,18250,
4096,3102.04,18300,
4096,3200,18350,
4096,3120,18400,
4096,3200,18450,
4096,3120,18500,
4096,2960,18550,
4096,3200,18600,
4096,3200,18650,
4096,2880,18700,
4096,3040,18750,
4096,2960,18800,
4096,3120,18850,
4096,3040,18900,
4096,3040,18951,
4096,3020.41,19000,
4096,3040,19050,
4096,3040,19100,
4096,3040,19150,
4096,3040,19200,
4096,3040,19250,
4096,3120,19301,
4096,3020.41,19350,
4096,3040,19400,
4096,3040,19450,
4096,3040,19500,
4096,3040,19550,
4096,3040,19600,
4096,3040,19650,
4096,3040,19700,
4096,3040,19750,
4096,2960,19801,
4096,3020.41,19850,
4096,3120,19900,
4096,3040,19950,
4096,3120,20000,
4096,3040,20050,
4096,3120,20100,
4096,3120,20150,
4096,3040,20200,
4096,3040,20250,
4096,3120,20300,
4096,3120,20350,
4096,3120,20400,
4096,3120,20451,
4096,3183.67,20500,
4096,3040,20550,
4096,3040,20600,
4096,2960,20650,
4096,3120,20700,
4096,3040,20750,
4096,2960,20800,
4096,3040,20850,
4096,3040,20900,
4096,3040,20950,
4096,3040,21000,
4096,3020.41,21050,
4096,3120,21100,
4096,3040,21150,
4096,3120,21200,
4096,3120,21250,
4096,3120,21300,
4096,3040,21350,
4096,3120,21400,
4096,3120,21450,
4096,3040,21500,
4096,3020.41,21550,
4096,2960,21600,
4096,3040,21650,
4096,3040,21700,
4096,3040,21750,
4096,3040,21800,
4096,3040,21850,
4096,3040,21900,
4096,3040,21950,
4096,3040,22000,
4096,3040,22050,
4096,3120,22100,
4096,3040,22150,
4096,3040,22200,
4096,3120,22251,
4096,3102.04,22300,
4096,3120,22350,
4096,3120,22400,
4096,3040,22450,
4096,3120,22500,
4096,2960,22550,
4096,3040,22600,
4096,2880,22650,
4096,3040,22700,
4096,3040,22750,
4096,3040,22800,
4096,3040,22850,
4096,2960,22900,
4096,3040,22950,
4096,3040,23000,
4096,2938.78,23050,
4096,3040,23100,
4096,2960,23150,
4096,3040,23200,
4096,3120,23250,
4096,3040,23300,
4096,3040,23350,
4096,3040,23400,
4096,3040,23450,
4096,2960,23500,
4096,3020.41,23550,
4096,2960,23600,
4096,3040,23650,
4096,2960,23700,
4096,2960,23750,
4096,3040,23800,
4096,2880,23850,
4096,3040,23900,
4096,2960,23950,
4096,3040,24001,
4096,2938.78,24050,
4096,3040,24100,
4096,3040,24150,
4096,3040,24200,
4096,2960,24250,
4096,2960,24300,
4096,3040,24350,
4096,2960,24400,
4096,3040,24450,
4096,3120,24501,
4096,3183.67,24550,
4096,3120,24600,
4096,2960,24650,
4096,3040,24700,
4096,3040,24750,
4096,3040,24800,
4096,3040,24850,
4096,3040,24900,
4096,3040,24950,
4096,3120,25000,
4096,3102.04,25050,
4096,3040,25100,
4096,3120,25150,
4096,3120,25200,
4096,3120,25250,
4096,3040,25300,
4096,3120,25350,
4096,3120,25400,
4096,3040,25450,
4096,3120,25500,
4096,2857.14,25550,
4096,2960,25600,
4096,2960,25650,
4096,2880,25700,
4096,2960,25750,
4096,3040,25800,
4096,3120,25850,
4096,3120,25900,
4096,3040,25950,
4096,3120,26000,
4096,2880,26050,
4096,2960,26100,
4096,3040,26150,
4096,3040,26201,
4096,3020.41,26250,
4096,3040,26300,
4096,3040,26350,
4096,2960,26400,
4096,3120,26450,
4096,3040,26500,
4096,3040,26550,
4096,2880,26600,
4096,1600,26650,
4096,1520,26701,
4096,1551.02,26750,
4096,1680,26800,
4096,1600,26850,
4096,1520,26900,
4096,1600,26950,
4096,1520,27000,
4096,1600,27051,
4096,1551.02,27100,
4096,1600,27150,
4096,1520,27200,
4096,1440,27250,
4096,1440,27300,
4096,1440,27350,
4096,1600,27400,
4096,1520,27451,
4096,1551.02,27500,
4096,1360,27550,
4096,1440,27600,
4096,1600,27650,
4096,1440,27700,
4096,1520,27750,
4096,1600,27800,
4096,1520,27850,
4096,1600,27901,
4096,1551.02,27950,
4096,1520,28000,
4096,1360,28050,
4096,1520,28100,
4096,1520,28150,
4096,1520,28200,
4096,1440,28251,
4096,1469.39,28300,
4096,1440,28350,
4096,1520,28400,
4096,1520,28450,
4096,1520,28500,
4096,1600,28550,
4096,1520,28601,
4096,1551.02,28650,
4096,1440,28700,
