Block Size (KB),Throughput (MiB/s),Time (ms),
4096,2320,500,
4096,3022.04,1000,
4096,3032,1500,
4096,3022.04,2000,
4096,3032,2500,
4096,3006.01,3000,
4096,3080,3500,
4096,3024,4001,
4096,3022.04,4500,
4096,3064,5000,
4096,3048,5501,
4096,3038.08,6000,
4096,3040,6500,
4096,3030.06,7000,
4096,3040,7500,
4096,3072,8000,
4096,3064,8500,
4096,3046.09,9000,
4096,3016,9500,
4096,3032,10000,
4096,3038.08,10500,
4096,2992,11000,
4096,3038.08,11500,
4096,3048,12000,
4096,3024,12500,
4096,3040,13000,
4096,3030.06,13500,
4096,3032,14000,
4096,3032,14500,
4096,3016,15000,
4096,3022.04,15500,
4096,3040,16000,
4096,3032,16500,
4096,3038.08,17000,
4096,3032,17500,
4096,3030.06,18000,
4096,3032,18500,
4096,3032,19000,
4096,3022.04,19500,
4096,3032,20000,
4096,3088,20501,
4096,3102.2,21000,
4096,3072,21500,
4096,3032,22000,
4096,3030.06,22500,
4096,3000,23000,
4096,3030.06,23500,
4096,3024,24000,
4096,3094.19,24500,
4096,3128,25000,
4096,3096,25500,
4096,3022.04,26000,
4096,2856,26500,
4096,1584,27000,
4096,1507.01,27500,
4096,1520,28001,
4096,1499,28500,
4096,1466.93,29000,
4096,1464,29500,
4096,1499,30000,
4096,1448,30500,
4096,1474.95,31000,
4096,1488,31500,
4096,1458.92,32000,
4096,1472,32501,
4096,1490.98,33000,
4096,1458.92,33500,
4096,1464,34000,
4096,1466.93,34500,
4096,1450.9,35000,
4096,1472,35500,
4096,1490.98,36000,
4096,1456,36500,
4096,1474.95,37000,
4096,1488,37500,
4096,1464,38000,
4096,1466.93,38500,
4096,1490.98,39000,
4096,1448,39500,
4096,1474.95,40000,
4096,1488,40500,
4096,1458.92,41000,
4096,1472,41500,
4096,1488,42000,
4096,1450.9,42500,
4096,1472,43000,
4096,1480,43500,
4096,1450.9,44000,
4096,1464,44500,
4096,1496,45000,
4096,1458.92,45500,
4096,1448,46000,
4096,1474.95,46500,
4096,1456,47000,
4096,1474.95,47500,
4096,1480,48000,
4096,1464,48501,
4096,1458.92,49000,
4096,1488,49500,
4096,1458.92,50000,
4096,1472,50501,
4096,1482.97,51000,
4096,1442.89,51500,
4096,1480,52000,
4096,1482.97,52500,
4096,1464,53000,
4096,1466.93,53500,
4096,1496,54000,
4096,1442.89,54500,
4096,1480,55000,
4096,1490.98,55500,
4096,1456,56001,
4096,1474.95,56500,
4096,1472,57001,
4096,1458.92,57500,
4096,1456,58000,
4096,1480,58501,
4096,1442.89,59000,
4096,1490.98,59500,
4096,1496,60000,
4096,1458.92,60500,
4096,1472,61000,
4096,1507.01,61500,
4096,1456,62000,
4096,1474.95,62500,
4096,1496,63001,
4096,1442.89,63500,
4096,1466.93,64000,
4096,1488,64500,
4096,1458.92,65000,
4096,1480,65500,
4096,1490.98,66000,
4096,1464,66501,
4096,1474.95,67000,
4096,1490.98,67500,
4096,1448,68001,
4096,1474.95,68500,
4096,1496,69000,
4096,1450.9,69500,
4096,1456,70001,
4096,1466.93,70500,
4096,1458.92,71000,
4096,1480,71500,
4096,1490.98,72000,
4096,1464,72501,
4096,1482.97,73000,
4096,1496,73500,
4096,1458.92,74000,
4096,1480,74500,
4096,1482.97,75000,
4096,1440,75500,
4096,1474.95,76000,
4096,1480,76501,
4096,1458.92,77000,
4096,1482.97,77500,
4096,1488,78000,
4096,1458.92,78500,
4096,1482.97,79000,
4096,1488,79500,
4096,1450.9,80000,
4096,1480,80500,
4096,1490.98,81000,
4096,1456,81500,
4096,1474.95,82000,
4096,1480,82500,
4096,1450.9,83000,
4096,1488,83501,
4096,1482.97,84000,
4096,1458.92,84500,
4096,1480,85000,
4096,1482.97,85500,
4096,1456,86000,
4096,1474.95,86500,
4096,1480,87001,
4096,1434.87,87500,
4096,1482.97,88000,
4096,1472,88501,
4096,1458.92,89000,
4096,1488,89500,
4096,1480,90000,
4096,1450.9,90500,
4096,1472,91001,
4096,1482.97,91500,
4096,1456,92000,
4096,1482.97,92500,
4096,1480,93001,
4096,1458.92,93500,
4096,1464,94000,
4096,1474.95,94500,
4096,1442.89,95000,
4096,1496,95500,
4096,1482.97,96000,
4096,1456,96500,
4096,1490.98,97000,
4096,1480,97500,
4096,1442.89,98000,
4096,1488,98500,
4096,1482.97,99000,
4096,1442.89,99500,
4096,1480,100000,
4096,1482.97,100500,
4096,1448,101000,
4096,1482.97,101500,
4096,1496,102000,
4096,1450.9,102500,
4096,1488,103001,
4096,1482.97,103500,
4096,1450.9,104000,
4096,1488,104501,
4096,1482.97,105000,
4096,1456,105501,
4096,1474.95,106000,
4096,1472,106500,
4096,1442.89,107000,
4096,1499,107500,
4096,1488,108000,
4096,1458.92,108500,
4096,1480,109001,
4096,1490.98,109500,
4096,1448,110001,
4096,1482.97,110500,
4096,1490.98,111000,
4096,1432,111501,
4096,1482.97,112000,
4096,1480,112500,
4096,1456,113001,
4096,1490.98,113500,
4096,1480,114001,
4096,1458.92,114500,
4096,1490.98,115000,
4096,1472,115500,
4096,1458.92,116000,
4096,1496,116500,
4096,1482.97,117000,
4096,1456,117500,
4096,1474.95,118000,
4096,1472,118500,
4096,1448,119000,
4096,1482.97,119500,
4096,1472,120000,
4096,1464,120501,
4096,1490.98,121000,
4096,1480,121500,
4096,1448,122001,
4096,1490.98,122500,
4096,1480,123000,
4096,1440,123501,
4096,1482.97,124000,
4096,1480,124501,
4096,1458.92,125000,
4096,1488,125500,
4096,1482.97,126000,
4096,1448,126500,
4096,1490.98,127000,
4096,1472,127500,
4096,1450.9,128000,
4096,1488,128500,
4096,1490.98,129000,
4096,1456,129501,
4096,1466.93,130000,
4096,1464,130501,
4096,1450.9,131000,
4096,1488,131501,
4096,1474.95,132000,
4096,1464,132500,
4096,1490.98,133000,
4096,1480,133500,
4096,1442.89,134000,
4096,1496,134500,
4096,1474.95,135000,
4096,1448,135500,
4096,1482.97,136000,
4096,1482.97,136500,
4096,1456,137000,
4096,1490.98,137500,
4096,1472,138000,
4096,1450.9,138500,
4096,1496,139000,
4096,1474.95,139500,
4096,1456,140000,
4096,1490.98,140500,
4096,1488,141001,
4096,1458.92,141500,
4096,1480,142001,
4096,1474.95,142500,
4096,1434.87,143000,
4096,1488,143501,
4096,1474.95,144000,
4096,1466.93,144500,
4096,1488,145000,
4096,1482.97,145500,
4096,1464,146000,
4096,1482.97,146500,
4096,1480,147000,
4096,1442.89,147500,
4096,1480,148001,
4096,1474.95,148500,
4096,1450.9,149000,
4096,1488,149500,
4096,1482.97,150000,
4096,1456,150500,
4096,1490.98,151000,
4096,1488,151500,
4096,1450.9,152000,
4096,1496,152500,
4096,1474.95,153000,
4096,1458.92,153500,
4096,1464,154000,
4096,1466.93,154500,
4096,1448,155000,
4096,1496,155500,
4096,1472,156001,
4096,1450.9,156500,
4096,1496,157001,
4096,1482.97,157500,
4096,1456,158001,
4096,1482.97,158500,
4096,1466.93,159000,
4096,1456,159500,
4096,1472,160001,
4096,1474.95,160500,
4096,1456,161001,
4096,1499,161500,
4096,1474.95,162000,
4096,1456,162500,
4096,1490.98,163000,
4096,1480,163500,
4096,1458.92,164000,
4096,1488,164501,
4096,1490.98,165000,
4096,1432,165501,
4096,1482.97,166000,
4096,1474.95,166500,
4096,1432,167000,
4096,1507.01,167500,
4096,1482.97,168000,
4096,1456,168500,
4096,1499,169000,
4096,1480,169501,
4096,1450.9,170000,
4096,1499,170500,
4096,1480,171000,
4096,1450.9,171500,
4096,1480,172000,
4096,1482.97,172500,
4096,1456,173000,
4096,1499,173500,
4096,1480,174000,
4096,1450.9,174500,
4096,1488,175001,
4096,1474.95,175500,
4096,1440,176001,
4096,1499,176500,
4096,1472,177000,
4096,1458.92,177500,
4096,1472,178001,
4096,1474.95,178500,
4096,1434.87,179000,
4096,1496,179500,
4096,1474.95,180000,
4096,1464,180500,
4096,1499,181000,
4096,1480,181500,
4096,1450.9,182000,
4096,1488,182500,
4096,1474.95,183000,
4096,1450.9,183500,
4096,1488,184000,
4096,1464,184501,
4096,1458.92,185000,
4096,1504,185500,
4096,1474.95,186000,
4096,1456,186500,
4096,1496,187000,
4096,1482.97,187500,
4096,1448,188000,
4096,1496,188500,
4096,1474.95,189000,
4096,1456,189500,
4096,1480,190001,
4096,1474.95,190500,
4096,1440,191000,
4096,1499,191500,
4096,1480,192001,
4096,1458.92,192500,
4096,1490.98,193000,
4096,1472,193500,
4096,1458.92,194000,
4096,1496,194501,
4096,1482.97,195000,
4096,1450.9,195500,
4096,1480,196000,
4096,1482.97,196500,
4096,1464,197000,
4096,1490.98,197500,
4096,1472,198000,
4096,1450.9,198500,
4096,1504,199000,
4096,1474.95,199500,
4096,1448,200001,
4096,1499,200500,
4096,1482.97,201000,
4096,1448,201500,
4096,1466.93,202000,
4096,1480,202500,
4096,1442.89,203000,
4096,1488,203500,
4096,1490.98,204000,
4096,1456,204501,
4096,1482.97,205000,
4096,1480,205501,
4096,1450.9,206000,
4096,1499,206500,
4096,1480,207000,
4096,1458.92,207500,
4096,1488,208001,
4096,1482.97,208500,
4096,1456,209001,
4096,1507.01,209500,
4096,1474.95,210000,
4096,1456,210500,
4096,1499,211000,
4096,1472,211501,
4096,1442.89,212000,
4096,1504,212500,
4096,1482.97,213000,
4096,1456,213501,
4096,1466.93,214000,
4096,1490.98,214500,
4096,1440,215000,
4096,1488,215500,
4096,1490.98,216000,
4096,1456,216500,
4096,1490.98,217000,
4096,1488,217500,
4096,1442.89,218000,
4096,1496,218500,
4096,1472,219001,
4096,1458.92,219500,
4096,1488,220001,
4096,1466.93,220500,
4096,1466.93,221000,
4096,1488,221500,
4096,1466.93,222000,
4096,1456,222500,
4096,1480,223000,
4096,1482.97,223500,
4096,1456,224000,
4096,1490.98,224500,
4096,1488,225000,
4096,1450.9,225500,
4096,1480,226000,
4096,1472,226501,
4096,1442.89,227000,
4096,1499,227500,
4096,1480,228000,
4096,1466.93,228500,
4096,1488,229000,
4096,1490.98,229500,
4096,1440,230000,
4096,1490.98,230500,
4096,1472,231000,
4096,1450.9,231500,
4096,1496,232001,
4096,1482.97,232500,
4096,1464,233001,
4096,1490.98,233500,
4096,1474.95,234000,
4096,1448,234500,
4096,1490.98,235000,
4096,1488,235500,
4096,1450.9,236000,
4096,1496,236500,
4096,1474.95,237000,
4096,1464,237500,
4096,1474.95,238000,
4096,1472,238500,
4096,1442.89,239000,
4096,1488,239500,
4096,1490.98,240000,
4096,1464,240500,
4096,1490.98,241000,
4096,1490.98,241500,
4096,1456,242000,
4096,1482.97,242500,
4096,1480,243000,
4096,1450.9,243500,
4096,1490.98,244000,
4096,1488,244500,
4096,1450.9,245000,
4096,1480,245500,
4096,1474.95,246000,
4096,1448,246500,
4096,1490.98,247000,
4096,1474.95,247500,
4096,1464,248000,
4096,1490.98,248500,
4096,1480,249000,
4096,1466.93,249500,
4096,1464,250001,
4096,1466.93,250500,
4096,1456,251001,
4096,1490.98,251500,
4096,1490.98,252000,
4096,1456,252500,
4096,1490.98,253000,
4096,1496,253501,
4096,1426.85,254000,
4096,1496,254500,
4096,1480,255000,
4096,1450.9,255500,
4096,1480,256000,
4096,1482.97,256500,
4096,1448,257000,
4096,1496,257500,
4096,1490.98,258000,
4096,1440,258500,
4096,1482.97,259000,
4096,1488,259500,
4096,1434.87,260000,
4096,1499,260500,
4096,1488,261000,
4096,1448,261500,
4096,1474.95,262000,
4096,1472,262500,
4096,1450.9,263000,
4096,1488,263500,
4096,1488,264001,
4096,1458.92,264500,
4096,1480,265000,
4096,1490.98,265500,
4096,1456,266000,
4096,1490.98,266500,
4096,1472,267000,
4096,1450.9,267500,
4096,1480,268000,
4096,1482.97,268500,
4096,1456,269000,
4096,1488,269500,
4096,1482.97,270000,
4096,1448,270500,
4096,1490.98,271000,
4096,1472,271500,
4096,1456,272001,
4096,1482.97,272500,
4096,1480,273000,
4096,1458.92,273500,
4096,1464,274000,
4096,1480,274500,
4096,1434.87,275000,
4096,1496,275500,
4096,1464,276000,
4096,1466.93,276500,
4096,1488,277000,
4096,1482.97,277500,
4096,1440,278000,
4096,1496,278500,
4096,1474.95,279000,
4096,1448,279500,
4096,1482.97,280000,
4096,1472,280500,
4096,1458.92,281000,
4096,1504,281500,
4096,1466.93,282000,
4096,1456,282501,
4096,1490.98,283000,
4096,1480,283500,
4096,1448,284000,
4096,1490.98,284500,
4096,1472,285000,
4096,1466.93,285500,
4096,1464,286000,
4096,1464,286500,
4096,1458.92,287000,
4096,1496,287500,
4096,1480,288000,
4096,1458.92,288500,
4096,1504,289000,
4096,1474.95,289500,
4096,1440,290000,
4096,1482.97,290500,
4096,1480,291000,
4096,1450.9,291500,
4096,1488,292000,
4096,1474.95,292500,
4096,1456,293000,
4096,1490.98,293500,
4096,1472,294000,
4096,1450.9,294500,
4096,1488,295000,
4096,1480,295500,
4096,1450.9,296000,
4096,1496,296500,
4096,1482.97,297000,
4096,1456,297500,
4096,1474.95,298000,
4096,1480,298500,
4096,1442.89,299000,
4096,1496,299501,
4096,1490.98,300000,
4096,1464,300500,
4096,1490.98,301000,
4096,1480,301500,
4096,1434.87,302000,
4096,1488,302500,
4096,1482.97,303000,
4096,1448,303500,
4096,1482.97,304000,
4096,1488,304500,
4096,1450.9,305000,
4096,1504,305500,
4096,1482.97,306000,
4096,1434.87,306500,
4096,1496,307000,
4096,1490.98,307500,
4096,1456,308001,
4096,1499,308500,
4096,1488,309000,
4096,1458.92,309500,
4096,1472,310000,
4096,1482.97,310500,
4096,1448,311000,
4096,1499,311500,
4096,1480,312000,
4096,1450.9,312500,
4096,1488,313001,
4096,1490.98,313500,
4096,1440,314001,
4096,1490.98,314500,
4096,1480,315000,
4096,1450.9,315500,
4096,1488,316000,
4096,1482.97,316500,
4096,1456,317000,
4096,1490.98,317500,
4096,1474.95,318000,
4096,1456,318500,
4096,1490.98,319000,
4096,1480,319501,
4096,1450.9,320000,
4096,1496,320500,
4096,1482.97,321000,
4096,1456,321500,
4096,1472,322001,
4096,1474.95,322500,
4096,1448,323000,
4096,1482.97,323500,
4096,1480,324000,
4096,1458.92,324500,
4096,1496,325000,
4096,1482.97,325500,
4096,1464,326000,
4096,1482.97,326500,
4096,1488,327001,
4096,1450.9,327500,
4096,1488,328001,
4096,1482.97,328500,
4096,1456,329000,
4096,1496,329500,
4096,1482.97,330000,
4096,1456,330500,
4096,1482.97,331000,
4096,1480,331500,
4096,1450.9,332000,
4096,1488,332500,
4096,1490.98,333000,
4096,1456,333500,
4096,1482.97,334000,
4096,1482.97,334500,
4096,1448,335000,
4096,1490.98,335500,
4096,1490.98,336000,
4096,1456,336500,
4096,1482.97,337000,
4096,1504,337500,
4096,1448,338000,
4096,1482.97,338500,
4096,1472,339001,
4096,1458.92,339500,
4096,1480,340000,
4096,1482.97,340500,
4096,1464,341000,
4096,1480,341501,
4096,1499,342000,
4096,1456,342500,
4096,1482.97,343000,
4096,1490.98,343500,
4096,1448,344000,
4096,1482.97,344500,
4096,1488,345000,
4096,1450.9,345500,
4096,1480,346001,
4096,1474.95,346500,
4096,1450.9,347000,
4096,1496,347501,
4096,1490.98,348000,
4096,1458.92,348500,
4096,1480,349000,
4096,1488,349501,
4096,1450.9,350000,
4096,1480,350500,
4096,1490.98,351000,
4096,1450.9,351500,
4096,1480,352001,
4096,1490.98,352500,
4096,1456,353001,
4096,1499,353500,
4096,1488,354000,
4096,1458.92,354500,
4096,1480,355001,
4096,1499,355500,
4096,1450.9,356000,
4096,1488,356500,
4096,1490.98,357000,
4096,1448,357501,
4096,1458.92,358000,
4096,1490.98,358500,
4096,1456,359000,
4096,1482.97,359500,
4096,1504,360000,
4096,1458.92,360500,
4096,1472,361000,
4096,1490.98,361500,
4096,1448,362001,
4096,1482.97,362500,
4096,1490.98,363000,
4096,1448,363500,
4096,1496,364000,
4096,1499,364500,
4096,1458.92,365000,
4096,1472,365500,
4096,1496,366001,
4096,1466.93,366500,
4096,1474.95,367000,
4096,1504,367500,
4096,1456,368000,
4096,1466.93,368500,
4096,1496,369000,
4096,1456,369500,
4096,1474.95,370000,
4096,1496,370500,
4096,1450.9,371000,
4096,1480,371500,
4096,1496,372000,
4096,1458.92,372500,
4096,1490.98,373000,
4096,1504,373500,
4096,1450.9,374000,
4096,1464,374501,
4096,1499,375000,
4096,1450.9,375500,
4096,1472,376000,
4096,1499,376500,
4096,1464,377001,
4096,1466.93,377500,
4096,1496,378000,
4096,1458.92,378500,
4096,1480,379001,
4096,1499,379500,
4096,1456,380001,
4096,1474.95,380500,
4096,1496,381001,
4096,1450.9,381500,
4096,1474.95,382000,
4096,1472,382500,
4096,1456,383001,
4096,1482.97,383500,
4096,1499,384000,
4096,1464,384500,
4096,1474.95,385000,
4096,1496,385500,
4096,1434.87,386000,
4096,1480,386500,
4096,1499,387000,
4096,1472,387501,
4096,1474.95,388000,
4096,1504,388501,
4096,1466.93,389000,
4096,1480,389500,
4096,1499,390000,
4096,1466.93,390500,
4096,1464,391000,
4096,1499,391500,
4096,1456,392001,
4096,1474.95,392500,
4096,1504,393000,
4096,1450.9,393500,
4096,1456,394000,
4096,1490.98,394500,
4096,1456,395000,
4096,1466.93,395500,
4096,1512,396001,
4096,1458.92,396500,
4096,1466.93,397000,
4096,1504,397500,
4096,1448,398000,
4096,1466.93,398500,
4096,1504,399000,
4096,1440,399501,
4096,1466.93,400000,
4096,1504,400500,
4096,1458.92,401000,
4096,1456,401501,
4096,1499,402000,
4096,1458.92,402500,
4096,1456,403000,
4096,1507.01,403500,
4096,1448,404000,
4096,1464,404500,
4096,1504,405000,
4096,1458.92,405500,
4096,1448,406000,
4096,1480,406500,
4096,1458.92,407000,
4096,1464,407501,
4096,1507.01,408000,
4096,1466.93,408500,
4096,1464,409001,
4096,1507.01,409500,
4096,1458.92,410000,
4096,1464,410500,
4096,1507.01,411000,
4096,1448,411500,
4096,1474.95,412000,
4096,1490.98,412500,
4096,1472,413000,
4096,1442.89,413500,
4096,1504,414000,
4096,1458.92,414500,
4096,1464,415001,
4096,1507.01,415500,
4096,1458.92,416000,
4096,1464,416500,
4096,1499,417000,
4096,1458.92,417500,
4096,1448,418000,
4096,1482.97,418500,
4096,1448,419001,
4096,1474.95,419500,
4096,1499,420000,
4096,1456,420500,
4096,1474.95,421000,
4096,1499,421500,
4096,1448,422000,
4096,1474.95,422500,
4096,1499,423000,
4096,1456,423500,
4096,1458.92,424000,
4096,1504,424500,
4096,1456,425000,
4096,1466.93,425500,
4096,1504,426000,
4096,1450.9,426500,
4096,1464,427000,
4096,1507.01,427500,
4096,1456,428000,
4096,1474.95,428500,
4096,1488,429000,
4096,1466.93,429500,
4096,1440,430000,
4096,1499,430500,
4096,1464,431000,
4096,1464,431500,
4096,1496,432001,
4096,1450.9,432500,
4096,1472,433000,
4096,1507.01,433500,
4096,1456,434001,
4096,1458.92,434500,
4096,1496,435000,
4096,1458.92,435500,
4096,1456,436001,
4096,1507.01,436500,
4096,1458.92,437000,
4096,1472,437500,
4096,1507.01,438000,
4096,1448,438500,
4096,1466.93,439000,
4096,1496,439500,
4096,1450.9,440000,
4096,1464,440500,
4096,1507.01,441000,
4096,1456,441500,
4096,1450.9,442000,
4096,1480,442500,
4096,1450.9,443000,
4096,1480,443501,
4096,1507.01,444000,
4096,1450.9,444500,
4096,1472,445000,
4096,1507.01,445500,
4096,1456,446000,
4096,1474.95,446500,
4096,1504,447001,
4096,1434.87,447500,
4096,1450.9,448000,
4096,1504,448500,
4096,1458.92,449000,
4096,1474.95,449500,
4096,1504,450000,
4096,1450.9,450500,
4096,1472,451000,
4096,1507.01,451500,
4096,1442.89,452000,
4096,1472,452500,
4096,1499,453000,
4096,1456,453500,
4096,1458.92,454000,
4096,1512,454501,
4096,1531.06,455000,
4096,1536,455501,
4096,1587.17,456000,
4096,1555.11,456500,
4096,1528,457000,
4096,1555.11,457500,
4096,1560,458000,
4096,1512,458501,
4096,1555.11,459000,
4096,1579.16,459500,
4096,1536,460001,
4096,1515.03,460500,
4096,1584,461001,
4096,1563.13,461500,
4096,1499,462000,
4096,1552,462500,
4096,1568,463000,
4096,1520,463501,
4096,1531.06,464000,
4096,1584,464501,
4096,1539.08,465000,
4096,1528,465501,
4096,1571.14,466000,
4096,1560,466500,
4096,1523.05,467000,
4096,1560,467500,
4096,1576,468000,
4096,1515.03,468500,
4096,1552,469000,
4096,1568,469500,
4096,1523.05,470000,
4096,1520,470500,
4096,1568,471000,
4096,1563.13,471500,
4096,1504,472000,
4096,1552,472501,
4096,1563.13,473000,
4096,1499,473500,
4096,1544,474000,
4096,1576,474500,
4096,1531.06,475000,
4096,1536,475501,
4096,1571.14,476000,
4096,1552,476500,
4096,1531.06,477000,
4096,1552,477500,
4096,1576,478000,
4096,1531.06,478500,
4096,1544,479000,
4096,1576,479500,
4096,1539.08,480000,
4096,1504,480500,
4096,1576,481000,
4096,1547.09,481500,
4096,1520,482001,
4096,1555.11,482500,
4096,1579.16,483000,
4096,1512,483500,
4096,1547.09,484000,
4096,1584,484501,
4096,1523.05,485000,
4096,1515.03,485500,
4096,1576,486000,
4096,1547.09,486500,
4096,1520,487000,
4096,1563.13,487500,
4096,1576,488000,
4096,1512,488500,
4096,1547.09,489000,
4096,1587.17,489500,
4096,1528,490000,
4096,1531.06,490500,
4096,1592,491000,
4096,1552,491501,
4096,1515.03,492000,
4096,1563.13,492500,
4096,1576,493000,
4096,1515.03,493500,
4096,1544,494000,
4096,1579.16,494500,
4096,1512,495000,
4096,1523.05,495500,
4096,1576,496000,
4096,1528,496500,
4096,1523.05,497000,
4096,1560,497501,
4096,1563.13,498000,
4096,1515.03,498500,
4096,1552,499000,
4096,1579.16,499500,
4096,1539.08,500000,
4096,1528,500500,
4096,1579.16,501000,
4096,1544,501500,
4096,1531.06,502000,
4096,1560,502500,
4096,1579.16,503000,
4096,1488,503500,
4096,1547.09,504000,
4096,1576,504501,
4096,1531.06,505000,
4096,1520,505501,
4096,1571.14,506000,
4096,1552,506500,
4096,1507.01,507000,
4096,1555.11,507500,
4096,1576,508000,
4096,1515.03,508500,
4096,1552,509000,
4096,1587.17,509500,
4096,1528,510000,
4096,1523.05,510500,
4096,1584,511000,
4096,1531.06,511500,
4096,1528,512000,
4096,1571.14,512500,
4096,1576,513001,
4096,1515.03,513500,
4096,1539.08,514000,
4096,1576,514500,
4096,1523.05,515000,
4096,1536,515500,
4096,1571.14,516000,
4096,1552,516500,
4096,1515.03,517000,
4096,1563.13,517500,
4096,1560,518000,
4096,1523.05,518500,
4096,1536,519001,
4096,1571.14,519500,
4096,1539.08,520000,
4096,1531.06,520500,
4096,1576,521000,
4096,1539.08,521500,
4096,1528,522000,
4096,1571.14,522500,
4096,1576,523000,
4096,1515.03,523500,
4096,1560,524000,
4096,1579.16,524500,
4096,1536,525001,
4096,1523.05,525500,
4096,1571.14,526000,
4096,1536,526500,
4096,1515.03,527000,
4096,1560,527500,
4096,1579.16,528000,
4096,1520,528500,
4096,1547.09,529000,
4096,1576,529500,
4096,1515.03,530000,
4096,1520,530500,
4096,1579.16,531000,
4096,1544,531500,
4096,1523.05,532000,
4096,1560,532500,
4096,1576,533000,
4096,1515.03,533500,
4096,1560,534000,
4096,1571.14,534500,
4096,1531.06,535000,
4096,1528,535500,
4096,1571.14,536000,
4096,1552,536500,
4096,1515.03,537000,
4096,1568,537500,
4096,1571.14,538000,
4096,1520,538500,
4096,1544,539001,
4096,1579.16,539500,
4096,1544,540001,
4096,1523.05,540500,
4096,1568,541001,
4096,1547.09,541500,
4096,1504,542000,
4096,1563.13,542500,
4096,1568,543000,
4096,1523.05,543500,
4096,1552,544000,
4096,1579.16,544500,
4096,1544,545000,
4096,1531.06,545500,
4096,1576,546000,
4096,1555.11,546500,
4096,1528,547000,
4096,1571.14,547500,
4096,1560,548000,
4096,1531.06,548500,
4096,1528,549000,
4096,1563.13,549500,
4096,1536,550000,
4096,1523.05,550500,
4096,1576,551000,
4096,1547.09,551500,
4096,1512,552000,
4096,1563.13,552500,
4096,1568,553000,
4096,1531.06,553500,
4096,1560,554000,
4096,1587.17,554500,
4096,1544,555000,
4096,1523.05,555500,
4096,1584,556000,
4096,1563.13,556500,
4096,1512,557000,
4096,1563.13,557500,
4096,1568,558000,
4096,1523.05,558500,
4096,1536,559000,
4096,1584,559500,
4096,1539.08,560000,
4096,1520,560500,
4096,1579.16,561000,
4096,1560,561500,
4096,1523.05,562000,
4096,1560,562500,
4096,1579.16,563000,
4096,1512,563501,
4096,1555.11,564000,
4096,1552,564500,
4096,1536,565000,
4096,1531.06,565500,
4096,1584,566000,
4096,1555.11,566500,
4096,1528,567000,
4096,1563.13,567500,
4096,1568,568000,
4096,1536,568501,
4096,1539.08,569000,
4096,1584,569500,
4096,1539.08,570000,
4096,1520,570500,
4096,1571.14,571000,
4096,1568,571501,
4096,1515.03,572000,
