Block Size (KB),Throughput (MiB/s),Time (ms),
4096,3108.11,148,
4096,3384.62,200,
4096,3280,250,
4096,3280,300,
4096,3360,350,
4096,3280,400,
4096,3360,450,
4096,3360,500,
4096,3280,550,
4096,3280,600,
4096,3360,650,
4096,3280,700,
4096,3360,751,
4096,3346.94,800,
4096,3280,850,
4096,3280,900,
4096,3280,950,
4096,3280,1000,
4096,3120,1050,
4096,3120,1100,
4096,3280,1150,
4096,3120,1200,
4096,3200,1250,
4096,3200,1300,
4096,3200,1350,
4096,3183.67,1400,
4096,3200,1450,
4096,3280,1500,
4096,3280,1550,
4096,3200,1600,
4096,3360,1650,
4096,3360,1700,
4096,3280,1750,
4096,3360,1801,
4096,3265.31,1850,
4096,3280,1900,
4096,3360,1950,
4096,3360,2000,
4096,3280,2050,
4096,3360,2100,
4096,3280,2150,
4096,3360,2200,
4096,3280,2251,
4096,3346.94,2300,
4096,3280,2350,
4096,3360,2400,
4096,3360,2450,
4096,3280,2500,
4096,3360,2550,
4096,3280,2600,
4096,3360,2650,
4096,3280,2700,
4096,3360,2750,
4096,3280,2801,
4096,3265.31,2850,
4096,3360,2900,
4096,3280,2950,
4096,3360,3000,
4096,3280,3050,
4096,3280,3100,
4096,3360,3150,
4096,3280,3200,
4096,3280,3250,
4096,3360,3301,
4096,3346.94,3350,
4096,3280,3400,
4096,3360,3450,
4096,3280,3500,
4096,3360,3550,
4096,3280,3600,
4096,3280,3650,
4096,3040,3701,
4096,3265.31,3750,
4096,3200,3800,
4096,3120,3850,
4096,3200,3900,
4096,3280,3950,
4096,3280,4000,
4096,3280,4051,
4096,3265.31,4100,
4096,3360,4150,
4096,3280,4200,
4096,3360,4250,
4096,3120,4300,
4096,3120,4350,
4096,3200,4400,
4096,3120,4451,
4096,3183.67,4500,
4096,3200,4550,
4096,3120,4600,
4096,3200,4650,
4096,3200,4700,
4096,3200,4750,
4096,3200,4800,
4096,3280,4850,
4096,3183.67,4900,
4096,3280,4950,
4096,3200,5000,
4096,3200,5050,
4096,3360,5100,
4096,3280,5150,
4096,3280,5200,
4096,3360,5250,
4096,3280,5300,
4096,3360,5350,
4096,3346.94,5400,
4096,3280,5450,
4096,3360,5500,
4096,3280,5550,
4096,3360,5600,
4096,3120,5650,
4096,3040,5700,
4096,3280,5751,
4096,3183.67,5800,
4096,3280,5850,
4096,3200,5900,
4096,3200,5950,
4096,3280,6000,
4096,3200,6050,
4096,3200,6100,
4096,3120,6150,
4096,3360,6201,
4096,3265.31,6250,
4096,3120,6300,
4096,3040,6350,
4096,3200,6400,
4096,3200,6450,
4096,3280,6500,
4096,3280,6550,
4096,3200,6600,
4096,3183.67,6650,
4096,3120,6700,
4096,3120,6750,
4096,3280,6800,
4096,3280,6850,
4096,3040,6900,
4096,3280,6951,
4096,3346.94,7000,
4096,3280,7050,
4096,3280,7100,
4096,3360,7150,
4096,3280,7200,
4096,3280,7250,
4096,3360,7300,
4096,3280,7350,
4096,3360,7400,
4096,3280,7450,
4096,3360,7500,
4096,3280,7550,
4096,3280,7601,
4096,3265.31,7650,
4096,3120,7700,
4096,3040,7750,
4096,3200,7800,
4096,3200,7850,
4096,3280,7900,
4096,3360,7950,
4096,3200,8000,
4096,3280,8051,
4096,3265.31,8100,
4096,3120,8150,
4096,3360,8200,
4096,3280,8250,
4096,3200,8300,
4096,3280,8350,
4096,3280,8400,
4096,3280,8450,
4096,3360,8501,
4096,3346.94,8550,
4096,3280,8600,
4096,3360,8650,
4096,3200,8700,
4096,3120,8750,
4096,3120,8800,
4096,3200,8850,
4096,3183.67,8900,
4096,3200,8950,
4096,3280,9000,
4096,3120,9050,
4096,3200,9100,
4096,3120,9150,
4096,3200,9200,
4096,3200,9250,
4096,3120,9301,
4096,3183.67,9350,
4096,3280,9400,
4096,3280,9450,
4096,3200,9500,
4096,3120,9550,
4096,3280,9600,
4096,3200,9650,
4096,3280,9700,
4096,3120,9751,
4096,3265.31,9800,
4096,3120,9850,
4096,3360,9900,
4096,3120,9950,
4096,3360,10000,
4096,3280,10050,
4096,3280,10100,
4096,3360,10151,
4096,3265.31,10200,
4096,3280,10250,
4096,3360,10300,
4096,3360,10350,
4096,3280,10400,
4096,3360,10450,
4096,3280,10500,
4096,3360,10550,
4096,3280,10600,
4096,3360,10650,
4096,3360,10700,
4096,3280,10750,
4096,3360,10801,
4096,3265.31,10850,
4096,3280,10900,
4096,3360,10950,
4096,3360,11000,
4096,3280,11050,
4096,3280,11100,
4096,3120,11150,
4096,3280,11200,
4096,3040,11251,
4096,3346.94,11300,
4096,3360,11350,
4096,3280,11400,
4096,3360,11450,
4096,3280,11500,
4096,3360,11550,
4096,3280,11600,
4096,3360,11650,
4096,3280,11700,
4096,3360,11750,
4096,3280,11800,
4096,3360,11850,
4096,3120,11901,
4096,3183.67,11950,
4096,3200,12000,
4096,3200,12050,
4096,3200,12100,
4096,3120,12150,
4096,3200,12200,
4096,3200,12250,
4096,3280,12300,
4096,3200,12350,
4096,3200,12401,
4096,3265.31,12450,
4096,3280,12500,
4096,3200,12550,
4096,3280,12600,
4096,3280,12650,
4096,3200,12700,
4096,3280,12750,
4096,3360,12800,
4096,3280,12850,
4096,3346.94,12900,
4096,3280,12950,
4096,3360,13000,
4096,3280,13050,
4096,3360,13100,
4096,3200,13150,
4096,3120,13200,
4096,3200,13250,
4096,3200,13300,
4096,3360,13350,
4096,3346.94,13400,
4096,3360,13450,
4096,3200,13500,
4096,3360,13550,
4096,3360,13600,
4096,3360,13650,
4096,3360,13700,
4096,3280,13750,
4096,3360,13800,
4096,3280,13850,
4096,3183.67,13900,
4096,3120,13950,
4096,3200,14000,
4096,3120,14050,
4096,3200,14100,
4096,3200,14150,
4096,3200,14200,
4096,3120,14251,
4096,3183.67,14300,
4096,3200,14350,
4096,3360,14400,
4096,3200,14450,
4096,3280,14500,
4096,3280,14550,
4096,3360,14600,
4096,3280,14650,
4096,3360,14700,
4096,3280,14751,
4096,3346.94,14800,
4096,3280,14850,
4096,3280,14900,
4096,3360,14950,
4096,3360,15000,
4096,3280,15050,
4096,3280,15100,
4096,3200,15150,
4096,3120,15200,
4096,3120,15250,
4096,3280,15301,
4096,3346.94,15350,
4096,3360,15400,
4096,3280,15450,
4096,3360,15500,
4096,3280,15550,
4096,3360,15600,
4096,3360,15650,
4096,3360,15700,
4096,3360,15750,
4096,3280,15801,
4096,3346.94,15850,
4096,3200,15900,
4096,3120,15950,
4096,3200,16000,
4096,3200,16050,
4096,3120,16100,
4096,3360,16150,
4096,3120,16200,
4096,3200,16250,
4096,3120,16300,
4096,3200,16350,
4096,3200,16401,
4096,3183.67,16450,
4096,3200,16500,
4096,3200,16550,
4096,3200,16600,
4096,3200,16650,
4096,3200,16700,
4096,3200,16750,
4096,3200,16800,
4096,3200,16850,
4096,3102.04,16900,
4096,3280,16950,
4096,3200,17000,
4096,3280,17050,
4096,3120,17100,
4096,3280,17150,
4096,3200,17200,
4096,3200,17250,
4096,3200,17300,
4096,3280,17350,
4096,3183.67,17400,
4096,3200,17450,
4096,3200,17500,
4096,3200,17550,
4096,3200,17600,
4096,3200,17650,
4096,3200,17701,
4096,3102.04,17750,
4096,3200,17800,
4096,3200,17850,
4096,3280,17900,
4096,3120,17950,
4096,3280,18000,
4096,3200,18050,
4096,3120,18100,
4096,3200,18151,
4096,3265.31,18200,
4096,3200,18250,
4096,3200,18300,
4096,3200,18350,
4096,3200,18400,
4096,3200,18450,
4096,3280,18500,
4096,3200,18550,
4096,3280,18600,
4096,3183.67,18650,
4096,3280,18700,
4096,3120,18750,
4096,3200,18800,
4096,3200,18850,
4096,3040,18900,
4096,3280,18950,
4096,3120,19000,
4096,3280,19051,
4096,3183.67,19100,
4096,3040,19150,
4096,3280,19200,
4096,3200,19250,
4096,3200,19300,
