Block Size (KB),Throughput (MiB/s),Time (ms),
4096,1520,50,
4096,1680,101,
4096,1632.65,150,
4096,1600,200,
4096,1600,250,
4096,1520,300,
4096,1600,351,
4096,1714.29,400,
4096,1600,450,
4096,1520,500,
4096,1520,550,
4096,1440,601,
4096,2285.71,650,
4096,3040,700,
4096,3040,750,
4096,2960,800,
4096,2960,850,
4096,2960,900,
4096,3040,950,
4096,3040,1000,
4096,3040,1050,
4096,3040,1100,
4096,3040,1150,
4096,2880,1200,
4096,3040,1250,
4096,3102.04,1300,
4096,3040,1350,
4096,3040,1400,
4096,3040,1450,
4096,2960,1500,
4096,2960,1550,
4096,3040,1600,
4096,2960,1651,
4096,3020.41,1700,
4096,3040,1750,
4096,3040,1800,
4096,3040,1850,
4096,3040,1900,
4096,3120,1950,
4096,3040,2000,
4096,3020.41,2050,
4096,2960,2100,
4096,3040,2150,
4096,3040,2200,
4096,3040,2250,
4096,3040,2300,
4096,3040,2350,
4096,3040,2400,
4096,3040,2450,
4096,3040,2500,
4096,3020.41,2550,
4096,2960,2600,
4096,2880,2650,
4096,3040,2700,
4096,3040,2750,
4096,3040,2800,
4096,3040,2850,
4096,3040,2900,
4096,3120,2951,
4096,3020.41,3000,
4096,3120,3050,
4096,3120,3100,
4096,3040,3150,
4096,3120,3200,
4096,2960,3250,
4096,3040,3300,
4096,3040,3350,
4096,3040,3400,
4096,3040,3450,
4096,3040,3500,
4096,3020.41,3550,
4096,3040,3600,
4096,3040,3650,
4096,3040,3700,
4096,3040,3750,
4096,2960,3800,
4096,2880,3850,
4096,3040,3900,
4096,3040,3950,
4096,3040,4000,
4096,3040,4050,
4096,3040,4101,
4096,3020.41,4150,
4096,3040,4200,
4096,3040,4250,
4096,2960,4300,
4096,3040,4350,
4096,2960,4400,
4096,3040,4450,
4096,3040,4500,
4096,3040,4550,
4096,3040,4600,
4096,3040,4651,
4096,3020.41,4700,
4096,3040,4750,
4096,3040,4800,
4096,2880,4850,
4096,3120,4900,
4096,3040,4950,
4096,3040,5000,
4096,3020.41,5050,
4096,3040,5100,
4096,2880,5150,
4096,3040,5200,
4096,3040,5250,
4096,3040,5300,
4096,3040,5351,
4096,3020.41,5400,
4096,3040,5450,
4096,3040,5500,
4096,3040,5550,
4096,3040,5600,
4096,3040,5650,
4096,2960,5700,
4096,3040,5750,
4096,3020.41,5800,
4096,3040,5850,
4096,3040,5900,
4096,3040,5950,
4096,3040,6000,
4096,3040,6050,
4096,3040,6100,
4096,2960,6150,
4096,3040,6200,
4096,2880,6250,
4096,3020.41,6300,
4096,3040,6350,
4096,3040,6400,
4096,3040,6450,
4096,3040,6500,
4096,2960,6550,
4096,3040,6600,
4096,2960,6650,
4096,3040,6700,
4096,3040,6751,
4096,3020.41,6800,
4096,3040,6850,
4096,3040,6900,
4096,3040,6950,
4096,3120,7000,
4096,3040,7050,
4096,3120,7100,
4096,2960,7151,
4096,2938.78,7200,
4096,2960,7250,
4096,3120,7300,
4096,3040,7350,
4096,3040,7400,
4096,3040,7450,
4096,3120,7500,
4096,3120,7551,
4096,3102.04,7600,
4096,3040,7650,
4096,3120,7700,
4096,3120,7750,
4096,3040,7800,
4096,3120,7850,
4096,3040,7900,
4096,3120,7950,
4096,3040,8000,
4096,3040,8050,
4096,3040,8101,
4096,3102.04,8150,
4096,3120,8200,
4096,3120,8250,
4096,3120,8300,
4096,3040,8350,
4096,3120,8400,
4096,3040,8450,
4096,3040,8500,
4096,2960,8551,
4096,2938.78,8600,
4096,3120,8650,
4096,3040,8700,
4096,3040,8750,
4096,3040,8800,
4096,2960,8850,
4096,2960,8900,
4096,2960,8951,
4096,3020.41,9000,
4096,3040,9050,
4096,3040,9100,
4096,3040,9150,
4096,3040,9200,
4096,2960,9250,
4096,3040,9300,
4096,2960,9350,
4096,3040,9400,
4096,2960,9450,
4096,3040,9500,
4096,3040,9550,
4096,3040,9601,
4096,3102.04,9650,
4096,3040,9700,
4096,2960,9750,
4096,3040,9800,
4096,3040,9850,
4096,2960,9900,
4096,3120,9950,
4096,3120,10000,
4096,3102.04,10050,
4096,3040,10100,
4096,3040,10150,
4096,3120,10200,
4096,3120,10250,
4096,3040,10300,
4096,3120,10350,
4096,3120,10400,
4096,3040,10450,
4096,3120,10500,
4096,3020.41,10550,
4096,3120,10600,
4096,3040,10650,
4096,3120,10700,
4096,3120,10750,
4096,3040,10800,
4096,3120,10850,
4096,3120,10900,
4096,3040,10950,
4096,3120,11000,
4096,3020.41,11050,
4096,3120,11100,
4096,3040,11150,
4096,3120,11200,
4096,3120,11250,
4096,3040,11300,
4096,3120,11350,
4096,3120,11400,
4096,3040,11450,
4096,3120,11500,
4096,3102.04,11550,
4096,3120,11600,
4096,2960,11650,
4096,2960,11700,
4096,3040,11750,
4096,2960,11800,
4096,2960,11850,
4096,3040,11900,
4096,2960,11951,
4096,3020.41,12000,
4096,3040,12050,
4096,3040,12100,
4096,2960,12150,
4096,3040,12200,
4096,2960,12250,
4096,3120,12300,
4096,3040,12350,
4096,3040,12401,
4096,3020.41,12450,
4096,3040,12500,
4096,3040,12550,
4096,3040,12600,
4096,2960,12650,
4096,3040,12700,
4096,2960,12750,
4096,3102.04,12800,
4096,2960,12850,
4096,3040,12900,
4096,3040,12950,
4096,3040,13000,
4096,3040,13050,
4096,3040,13100,
4096,3040,13150,
4096,3120,13201,
4096,3020.41,13250,
4096,3040,13300,
4096,3040,13350,
4096,3040,13400,
4096,3040,13450,
4096,3040,13500,
4096,3040,13550,
4096,3120,13600,
4096,3120,13650,
4096,3040,13700,
4096,3120,13750,
4096,2938.78,13800,
4096,2960,13850,
4096,2880,13900,
4096,3040,13950,
4096,2960,14000,
4096,2960,14051,
4096,3102.04,14100,
4096,3040,14150,
4096,3040,14200,
4096,2960,14250,
4096,3120,14300,
4096,3040,14350,
4096,2960,14400,
4096,3040,14450,
4096,3120,14500,
4096,3120,14550,
4096,3120,14601,
4096,3020.41,14650,
4096,3120,14700,
4096,3120,14750,
4096,3040,14800,
4096,3120,14850,
4096,3120,14900,
4096,3040,14950,
4096,3120,15000,
4096,3120,15050,
4096,3040,15100,
