Block Size (KB),Throughput (MiB/s),Time (ms),
4096,1640,500,
4096,2800,1000,
4096,3030.06,1500,
4096,3032,2000,
4096,3030.06,2500,
4096,3040,3000,
4096,3032,3500,
4096,3040,4000,
4096,3038.08,4500,
4096,3024,5000,
4096,3024,5500,
4096,3030.06,6000,
4096,3080,6500,
4096,3048,7000,
4096,3046.09,7500,
4096,3040,8000,
4096,3030.06,8500,
4096,3048,9000,
4096,3056,9501,
4096,3142.28,10000,
4096,3120,10500,
4096,3056,11000,
4096,3038.08,11500,
4096,3008,12000,
4096,3016,12500,
4096,2998,13000,
4096,3024,13500,
4096,3094.19,14000,
4096,3088,14500,
4096,3080,15000,
4096,3080,15500,
4096,3086.17,16000,
4096,3048,16500,
4096,3024,17000,
4096,3022.04,17500,
4096,3048,18000,
4096,3024,18500,
4096,3008,19000,
4096,3038.08,19500,
4096,3072,20000,
4096,3078.16,20500,
4096,3024,21000,
4096,3030.06,21500,
4096,3048,22000,
4096,3032,22500,
4096,3022.04,23000,
4096,3040,23500,
4096,3030.06,24000,
4096,3040,24500,
4096,3022.04,25000,
4096,3040,25500,
4096,3008,26000,
4096,3054.11,26500,
4096,1656,27000,
4096,1531.06,27500,
4096,1488,28001,
4096,1539.08,28500,
4096,1523.05,29000,
4096,1496,29500,
4096,1528,30001,
4096,1515.03,30500,
4096,1496,31000,
4096,1515.03,31500,
4096,1536,32000,
4096,1496,32500,
4096,1515.03,33000,
4096,1528,33500,
4096,1515.03,34000,
4096,1488,34500,
4096,1547.09,35000,
4096,1512,35500,
4096,1482.97,36000,
4096,1544,36500,
4096,1523.05,37000,
4096,1480,37500,
4096,1515.03,38000,
4096,1528,38500,
4096,1474.95,39000,
4096,1520,39500,
4096,1539.08,40000,
4096,1464,40500,
4096,1515.03,41000,
4096,1536,41500,
4096,1482.97,42000,
4096,1512,42500,
4096,1528,43001,
4096,1490.98,43500,
4096,1504,44000,
4096,1544,44501,
4096,1515.03,45000,
4096,1488,45500,
4096,1547.09,46000,
4096,1520,46500,
4096,1482.97,47000,
4096,1528,47500,
4096,1544,48000,
4096,1482.97,48500,
4096,1512,49000,
4096,1531.06,49500,
4096,1464,50000,
4096,1512,50501,
4096,1539.08,51000,
4096,1480,51500,
4096,1512,52000,
4096,1531.06,52500,
4096,1490.98,53000,
4096,1488,53500,
4096,1523.05,54000,
4096,1488,54500,
4096,1504,55001,
4096,1547.09,55500,
4096,1515.03,56000,
4096,1480,56500,
4096,1547.09,57000,
4096,1528,57501,
4096,1490.98,58000,
4096,1531.06,58500,
4096,1536,59000,
4096,1482.97,59500,
4096,1512,60000,
4096,1531.06,60500,
4096,1472,61001,
4096,1499,61500,
4096,1539.08,62000,
4096,1480,62500,
4096,1507.01,63000,
4096,1536,63500,
4096,1490.98,64000,
4096,1488,64500,
4096,1531.06,65000,
4096,1496,65500,
4096,1490.98,66000,
4096,1536,66500,
4096,1523.05,67000,
4096,1499,67500,
4096,1528,68000,
4096,1539.08,68500,
4096,1480,69000,
4096,1536,69501,
4096,1539.08,70000,
4096,1482.97,70500,
4096,1496,71000,
4096,1547.09,71500,
4096,1488,72000,
4096,1499,72500,
4096,1536,73000,
4096,1472,73501,
4096,1490.98,74000,
4096,1536,74501,
4096,1499,75000,
4096,1472,75501,
4096,1539.08,76000,
4096,1523.05,76500,
4096,1488,77000,
4096,1539.08,77500,
4096,1528,78000,
4096,1488,78500,
4096,1531.06,79000,
4096,1555.11,79500,
4096,1488,80000,
4096,1531.06,80500,
4096,1544,81000,
4096,1490.98,81500,
4096,1496,82000,
4096,1547.09,82500,
4096,1496,83000,
4096,1474.95,83500,
4096,1520,84000,
4096,1490.98,84500,
4096,1464,85000,
4096,1531.06,85500,
4096,1512,86000,
4096,1482.97,86500,
4096,1515.03,87000,
4096,1536,87500,
4096,1499,88000,
4096,1512,88500,
4096,1539.08,89000,
4096,1488,89500,
4096,1496,90000,
4096,1547.09,90500,
4096,1496,91000,
4096,1528,91500,
4096,1547.09,92000,
4096,1504,92500,
4096,1464,93001,
4096,1539.08,93500,
4096,1496,94001,
4096,1466.93,94500,
4096,1536,95000,
4096,1507.01,95500,
4096,1464,96000,
4096,1539.08,96500,
4096,1504,97001,
4096,1482.97,97500,
4096,1531.06,98000,
4096,1528,98500,
4096,1482.97,99000,
4096,1512,99500,
4096,1531.06,100000,
4096,1480,100500,
4096,1507.01,101000,
4096,1528,101500,
4096,1504,102001,
4096,1515.03,102500,
4096,1536,103001,
4096,1523.05,103500,
4096,1488,104001,
4096,1547.09,104500,
4096,1504,105000,
4096,1466.93,105500,
4096,1544,106000,
4096,1515.03,106500,
4096,1480,107000,
4096,1523.05,107500,
4096,1528,108001,
4096,1450.9,108500,
4096,1520,109001,
4096,1531.06,109500,
4096,1496,110001,
4096,1515.03,110500,
4096,1544,111001,
4096,1482.97,111500,
4096,1504,112000,
4096,1539.08,112500,
4096,1496,113000,
4096,1507.01,113500,
4096,1544,114000,
4096,1507.01,114500,
